sketch,notes_path,parameter,canonical_parameter,default,tried,change_score,signal,effect,deterministic,baseline_display,uses_shader,evidence_warning
2014/Generativos/Arboles,out/2014/Generativos/Arboles/notes.md,fanSpread,fanspread,80,[40],subtle,low,halving the *80 fan multiplier barely narrows the top splay; silhouette essentially unchanged under seed 42,true,:2,false,
2014/Generativos/Arboles,out/2014/Generativos/Arboles/notes.md,cantRamas,cantramas,"random(2,9)","[""random(4,9)""]",subtle,low,no clear visual change; the drawn depth was already >=4 under seed 42 so the lower-bound clamp was a no-op,true,:2,false,
2014/Generativos/Arboles,out/2014/Generativos/Arboles/notes.md,maxRami,maxrami,"random(1,4)","[""random(1,7)""]",moderate,high,"clearly bushier: denser canopy, more branches and crossing twigs, wider spread",true,:2,false,
2014/Generativos/Arboles,out/2014/Generativos/Arboles/notes.md,h,h,height/3,"[""height/2""]",subtle,low,tree and its blue bounding box ~1.5x taller; same branching structure,true,:2,false,
2014/Generativos/Arboles,out/2014/Generativos/Arboles/notes.md,strucAlpha,strucalpha,80,[255],none,low,tree unchanged; only the thin blue bounding box/X becomes full opacity (negligible pixel fraction),true,:2,false,
2014/Generativos/Curvas/prueba1,out/2014/Generativos/Curvas/prueba1/notes.md,cc,cc,"int(random(10, 40))",[40],large,high,"more fans (up to 40) -> busier composition, more overlapping ribbons, background mostly covered",true,:2,false,
2014/Generativos/Curvas/prueba1,out/2014/Generativos/Curvas/prueba1/notes.md,cant,cant,"int(random(80, 180))",[180],large,high,every fan gets 180 curves -> wider denser ribbons that read as solid filled shapes,true,:2,false,
2014/Generativos/Curvas/prueba1,out/2014/Generativos/Curvas/prueba1/notes.md,fanStep,fanstep,"random(2, 6)*random(2)","[""random(4, 8)*random(2)""]",moderate,high,"larger spacing between curves -> fans look sparser and more clearly striped, less solid fill",true,:2,false,
2014/Generativos/Curvas/prueba1,out/2014/Generativos/Curvas/prueba1/notes.md,fanRadius,fanradius,"random(40, 200)","[""random(100, 400)""]",moderate,high,"control points farther from center -> much larger sweeping fans, a few of which dominate the canvas",true,:2,false,
2014/Generativos/Curvas/prueba1,out/2014/Generativos/Curvas/prueba1/notes.md,palette,palette,#D4FAF3 #33A691 #2D3A52 #B31750 #FF3F21,"[""#765664 #EC7D88 #F4EC84 #62B681 #ECB973""]",large,high,"entire image recolored including the background: dark plum ground with salmon, peach, green and pale-yellow ribbons",true,:2,false,
2014/Generativos/Curvas/prueba1,out/2014/Generativos/Curvas/prueba1/notes.md,alpha,alpha,255,[100],moderate,high,"semi-transparent strokes: dense fans accumulate overlaps into washed-out solid areas, overall contrast lower, background unchanged",true,:2,false,
2014/Generativos/Esferas,out/2014/Generativos/Esferas/notes.md,growth,growth,exp(i),"[""exp(i/2)"",""i*10""]",large,high,slower growth widens the graduated short-bar region; linear growth turns the bars into a smooth triangular ramp filling ~half the canvas,true,:2,false,
2014/Generativos/Esferas,out/2014/Generativos/Esferas/notes.md,barWidth,barwidth,5,[10],large,high,"wider, more spaced comb; same overflow structure, cluster reads coarser and denser white area",true,:2,false,
2014/Generativos/Esferas,out/2014/Generativos/Esferas/notes.md,anchor,anchor,height/2,"[""height/3""]",none,low,"no visible change - full-height overflow bars dominate, only 7 short bars move a few pixels",true,:2,false,
2014/Generativos/Esferas,out/2014/Generativos/Esferas/notes.md,palette[0],palette 0,#FFFFFF,"[""#FF0000""]",none,low,"no visible change - palette and rcol() are dead code, fill() is never called so bars stay default white",true,:2,false,
2014/Generativos/Forms/forms1,out/2014/Generativos/Forms/forms1/notes.md,formCount,formcount,20,[30],moderate,high,"more, denser overlapping forms; canvas fills up, more overlap and darker crossed hatches",true,:2,false,
2014/Generativos/Forms/forms1,out/2014/Generativos/Forms/forms1/notes.md,vertices,vertices,4,[6],moderate,high,"hexagonal instead of quadrilateral outlines; larger, rounder shapes, same hatch/annotation style",true,:2,false,
2014/Generativos/Forms/forms1,out/2014/Generativos/Forms/forms1/notes.md,sizeRange,sizerange,"[60,200]","[[100,300]]",large,high,"forms up to 300px span; almost no white background left, composition becomes a full-bleed mass of hatching",true,:2,false,
2014/Generativos/Forms/forms1,out/2014/Generativos/Forms/forms1/notes.md,strokeAlpha,strokealpha,80,[160],moderate,high,"same layout, all lines twice as dark; hatched fills read as mid-grey instead of light grey",true,:2,false,
2014/Generativos/Forms/forms1,out/2014/Generativos/Forms/forms1/notes.md,hatchSpacing,hatchspacing,4,[10],moderate,high,"hatch lines 10px apart instead of 4; fills are much sparser and lighter, bead dots on edges fewer and more visible as gaps",true,:2,false,
2014/Generativos/Forms/forms1,out/2014/Generativos/Forms/forms1/notes.md,beadSize,beadsize,4,[10],subtle,low,"small pixel diff, but the intersection dots on every polygon edge become clearly visible open circles, heavily beading the outlines",true,:2,false,
2014/Generativos/Minim/arcos/arcos_pde,out/2014/Generativos/Minim/arcos/arcos_pde/notes.md,bandScale,bandscale,8,[20],subtle,low,wedge radius = band*8; x2.5 makes wedges longer but overall coverage similar at this audio moment,false,:2,false,non-deterministic baseline; only large changes are reliable
2014/Generativos/Minim/arcos/arcos_pde,out/2014/Generativos/Minim/arcos/arcos_pde/notes.md,cant,cant,64,[128],none,low,wedge count = specSize/8; doubling to 128 looks identical (low-frequency bands dominate the loud end),false,:2,false,non-deterministic baseline; only large changes are reliable
2014/Generativos/Minim/arcos/arcos_pde,out/2014/Generativos/Minim/arcos/arcos_pde/notes.md,alpha,alpha,220,[60],none,low,fill alpha; low value only slightly darkens the thin wedge region,false,:2,false,non-deterministic baseline; only large changes are reliable
2014/Generativos/Minim/arcos/arcos_pde,out/2014/Generativos/Minim/arcos/arcos_pde/notes.md,fillColor,fillcolor,#F7C350,"[""#50C3F7""]",none,low,wedge colour; blue is visible in the wedge region but wedges are a small fraction of the canvas,false,:2,false,non-deterministic baseline; only large changes are reliable
2014/Generativos/Minim/arcos/arcos_pde,out/2014/Generativos/Minim/arcos/arcos_pde/notes.md,bgColor,bgcolor,#2D2434,"[""#E8E4EF""]",large,high,background colour; flipping to light lavender dominates the whole image,false,:2,false,non-deterministic baseline; only large changes are reliable
2014/Generativos/Tildo,out/2014/Generativos/Tildo/notes.md,strokeWeight base,strokeweight base,1.5,[6],subtle,low,"thicker, bolder strokes everywhere; no other change",true,:2,false,
